Title,SKU,Brand,Size,Color,Condition,Category,Department,Price,Quantity,Description,Current Status,Target Platforms
DKNY gray blue micro-geometric button-up shirt Size M,A4-MD-0055,DKNY,M,Gray with blue and white accents,Pre-owned,Patterned Button-Up Shirt,Men's Tops,10,1,"DKNY gray blue micro-geometric button-up shirt Size M

Brand: DKNY
Department: Men's Tops
Category: Patterned Button-Up Shirt
Size: M
Color: Gray with blue and white accents
Pattern: Micro-geometric
Condition: Pre-owned; see photos

SKU A4-MD-0055 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
Eddie Bauer orange cream plaid button-up shirt Size L,A4-MD-0056,Eddie Bauer,L,"Rust orange, cream, olive and dark gray",Pre-owned,Men's Plaid Button-Up Shirt,Men's Tops,16,1,"Eddie Bauer orange cream plaid button-up shirt Size L

Brand: Eddie Bauer
Department: Men's Tops
Category: Men's Plaid Button-Up Shirt
Size: L
Color: Rust orange, cream, olive and dark gray
Pattern: Plaid
Condition: Pre-owned; see photos

SKU A4-MD-0056 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
Superman / DC Comics licensed Licensed Superman DC Comics distressed shield,A4-MD-0057,Superman / DC Comics licensed,M,Navy blue with red and yellow graphic,Pre-owned,Graphic T-Shirt,Men's Tops,16,1,"Superman / DC Comics licensed Licensed Superman DC Comics distressed shield

Brand: Superman / DC Comics licensed
Department: Men's Tops
Category: Graphic T-Shirt
Size: M
Color: Navy blue with red and yellow graphic
Pattern: Distressed Superman shield graphic
Condition: Pre-owned; full inspection required

SKU A4-MD-0057 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
Roundtree & Yorke Luxury Collection striped non-iron button-down shirt Size S,A4-MD-0058,Roundtree & Yorke,S,"White, navy, gray and beige",Pre-owned,Men's Button-Down Shirt,Men's Tops,10,1,"Roundtree & Yorke Luxury Collection striped non-iron button-down shirt Size S

Brand: Roundtree & Yorke
Department: Men's Tops
Category: Men's Button-Down Shirt
Size: S
Color: White, navy, gray and beige
Pattern: Vertical stripes
Condition: Pre-owned; see photos

SKU A4-MD-0058 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
Under Armour women's gray short-sleeve athletic blouse/top,A4-MD-0059,Under Armour,,Heather gray,Pre-owned,Women's Athletic Top / Blouse,Women's Tops,12,1,"Under Armour women's gray short-sleeve athletic blouse/top

Brand: Under Armour
Department: Women's Tops
Category: Women's Athletic Top / Blouse
Size: See measurements in photos
Color: Heather gray
Pattern: Heathered solid
Condition: Pre-owned or store-tagged; full inspection required

SKU A4-MD-0059 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
Nike Athletics red short-sleeve graphic T-shirt Size XL,A4-MD-0060,Nike,XL,Red,Pre-owned,Graphic T-Shirt,Men's Tops,,1,"Nike Athletics red short-sleeve graphic T-shirt Size XL

Brand: Nike
Department: Men's Tops
Category: Graphic T-Shirt
Size: XL
Color: Red
Pattern: Solid
Condition: Pre-owned; visible fading and possible small dark marks

SKU A4-MD-0060 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
Grey's Anatomy by Barco royal blue snap-front scrub jacket Size M,A4-MD-0061,Grey's Anatomy by Barco,M,Royal blue,Pre-owned,Scrub Jacket / Warm-Up Jacket,Women's Workwear / Scrubs,14,1,"Grey's Anatomy by Barco royal blue snap-front scrub jacket Size M

Brand: Grey's Anatomy by Barco
Department: Women's Workwear / Scrubs
Category: Scrub Jacket / Warm-Up Jacket
Size: M
Color: Royal blue
Pattern: Solid
Condition: Pre-owned; visible lint; final inspection required

SKU A4-MD-0061 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
Nike cream sherpa fleece — label attachment must be verified,A4-MD-0062,Nike (unconfirmed),,Cream,Pre-owned,Sherpa Fleece Jacket / Outerwear,Not Confirmed,30,1,"Nike cream sherpa fleece — label attachment must be verified

Brand: Nike (unconfirmed)
Department: Not Confirmed
Category: Sherpa Fleece Jacket / Outerwear
Size: See measurements in photos
Color: Cream
Condition: Purchased; final inspection required

SKU A4-MD-0062 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
GAP black utility/tech jacket,A4-MD-0063,GAP,,Black,Pre-owned,Utility / Tech Jacket,Not Confirmed,30,1,"GAP black utility/tech jacket

Brand: GAP
Department: Not Confirmed
Category: Utility / Tech Jacket
Size: See measurements in photos
Color: Black
Condition: Purchased; final inspection required

SKU A4-MD-0063 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
Navy multicolor floral wrap romper / jumpsuit,A4-MD-0064,,M (tag appears; verify),"Navy with pink, red, blue and white",Pre-owned,Women's Romper / Jumpsuit,Women's One-Piece / Dresses,18,1,"Navy multicolor floral wrap romper / jumpsuit

Brand: See photos — brand tag verification pending
Department: Women's One-Piece / Dresses
Category: Women's Romper / Jumpsuit
Size: M (tag appears; verify)
Color: Navy with pink, red, blue and white
Pattern: Floral
Condition: Pre-owned; final inspection and exact brand verification required

SKU A4-MD-0064 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
Levi's white denim jeans,A4-MD-0065,Levi's,31 x 30 (verify tag),White / ivory,Pre-owned,Jeans / Denim Pants,Not Confirmed,22,1,"Levi's white denim jeans

Brand: Levi's
Department: Not Confirmed
Category: Jeans / Denim Pants
Size: 31 x 30 (verify tag)
Color: White / ivory
Pattern: Solid
Condition: Pre-owned; final inspection and department verification required

SKU A4-MD-0065 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
Art Class red floral smocked long-sleeve top Size XL 14/16,A4-MD-0066,Art Class,XL 14/16,"Red with white, yellow and blue",Pre-owned,Kids Smocked Blouse / Top,Girls' Tops,12,1,"Art Class red floral smocked long-sleeve top Size XL 14/16

Brand: Art Class
Department: Girls' Tops
Category: Kids Smocked Blouse / Top
Size: XL 14/16
Color: Red with white, yellow and blue
Pattern: Ditsy floral
Condition: Pre-owned; final inspection required

SKU A4-MD-0066 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
Xhilaration navy striped lace-sleeve blouse Size S/P,A4-MD-0067,Xhilaration,S/P,Navy and white,Pre-owned,Women's Blouse / Long-Sleeve Top,Women's Tops,10,1,"Xhilaration navy striped lace-sleeve blouse Size S/P

Brand: Xhilaration
Department: Women's Tops
Category: Women's Blouse / Long-Sleeve Top
Size: S/P
Color: Navy and white
Pattern: Horizontal stripes with lace sleeves
Condition: Pre-owned; final inspection required

SKU A4-MD-0067 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
American Eagle gray heather long-sleeve crewneck shirt Size M,A4-MD-0068,American Eagle,M,Heather gray,Pre-owned,Long-Sleeve T-Shirt / Casual Top,Men's Tops,13,1,"American Eagle gray heather long-sleeve crewneck shirt Size M

Brand: American Eagle
Department: Men's Tops
Category: Long-Sleeve T-Shirt / Casual Top
Size: M
Color: Heather gray
Pattern: Heathered solid
Condition: Pre-owned; final inspection required

SKU A4-MD-0068 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
Old Navy red eyelet lace long-sleeve blouse Size L,A4-MD-0069,Old Navy,L,Red / coral,Pre-owned,Women's Eyelet Blouse / Top,Women's Tops,14,1,"Old Navy red eyelet lace long-sleeve blouse Size L

Brand: Old Navy
Department: Women's Tops
Category: Women's Eyelet Blouse / Top
Size: L
Color: Red / coral
Pattern: Eyelet floral lace
Condition: Pre-owned; final inspection required

SKU A4-MD-0069 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
Sonoma gray striped open-front cardigan Size S,A4-MD-0070,Sonoma,S,Gray and white,Pre-owned,Women's Cardigan Sweater,Women's Tops,14,1,"Sonoma gray striped open-front cardigan Size S

Brand: Sonoma
Department: Women's Tops
Category: Women's Cardigan Sweater
Size: S
Color: Gray and white
Pattern: Horizontal stripes
Condition: Pre-owned; final inspection required

SKU A4-MD-0070 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
Calvin Klein Performance black long-sleeve turtleneck top Size L,A4-MD-0071,Calvin Klein Performance,L,Black,Pre-owned,Women's Athletic Turtleneck / Base Layer,Women's Tops,18,1,"Calvin Klein Performance black long-sleeve turtleneck top Size L

Brand: Calvin Klein Performance
Department: Women's Tops
Category: Women's Athletic Turtleneck / Base Layer
Size: L
Color: Black
Pattern: Solid
Condition: Pre-owned; final inspection required

SKU A4-MD-0071 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
Mossimo Supply Co. Mossimo Supply Co black white striped short-sleeve knit,A4-MD-0072,Mossimo Supply Co.,S,Black and white,Pre-owned,Women's Casual Knit Dress / Tunic,Women's Dresses,12,1,"Mossimo Supply Co. Mossimo Supply Co black white striped short-sleeve knit

Brand: Mossimo Supply Co.
Department: Women's Dresses
Category: Women's Casual Knit Dress / Tunic
Size: S
Color: Black and white
Pattern: Horizontal stripes
Condition: Pre-owned; final inspection required

SKU A4-MD-0072 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
American Eagle tan stretch skinny pants / chinos,A4-MD-0073,American Eagle,6 (verify tag),Tan / khaki,Pre-owned,Women's Casual Pants / Chinos,Women's Bottoms,16,1,"American Eagle tan stretch skinny pants / chinos

Brand: American Eagle
Department: Women's Bottoms
Category: Women's Casual Pants / Chinos
Size: 6 (verify tag)
Color: Tan / khaki
Pattern: Solid
Condition: Pre-owned; final inspection required

SKU A4-MD-0073 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
Lucky Brand white gray raglan long-sleeve top Size M,A4-MD-0074,Lucky Brand,M,White and heather gray,Pre-owned,Women's Long-Sleeve Casual Top,Women's Tops,14,1,"Lucky Brand white gray raglan long-sleeve top Size M

Brand: Lucky Brand
Department: Women's Tops
Category: Women's Long-Sleeve Casual Top
Size: M
Color: White and heather gray
Pattern: Colorblock / raglan
Condition: Pre-owned; final inspection required

SKU A4-MD-0074 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
White textured eyelash open-front cardigan Size S,A4-MD-0075,Not confirmed (label appears Vialace),S,White / ivory,Pre-owned,Women's Open-Front Cardigan / Kimono,Women's Tops,15,1,"White textured eyelash open-front cardigan Size S

Brand: Not confirmed (label appears Vialace)
Department: Women's Tops
Category: Women's Open-Front Cardigan / Kimono
Size: S
Color: White / ivory
Pattern: Textured eyelash / fringe
Condition: Pre-owned; exact brand and final condition inspection required

SKU A4-MD-0075 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
Focus 2000 Collection gray pinstripe dress pants Size 6,A4-MD-0076,Focus 2000 Collection,6,Gray,Pre-owned,Women's Dress Pants / Trousers,Women's Bottoms,14,1,"Focus 2000 Collection gray pinstripe dress pants Size 6

Brand: Focus 2000 Collection
Department: Women's Bottoms
Category: Women's Dress Pants / Trousers
Size: 6
Color: Gray
Pattern: Pinstripe
Condition: Pre-owned; final inspection required

SKU A4-MD-0076 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
Perceptions New York black white abstract print dress Size 6,A4-MD-0077,Perceptions New York,6,Black and white,Pre-owned,Women's Printed Dress,Women's Dresses,18,1,"Perceptions New York black white abstract print dress Size 6

Brand: Perceptions New York
Department: Women's Dresses
Category: Women's Printed Dress
Size: 6
Color: Black and white
Pattern: Abstract geometric
Condition: Pre-owned; final inspection required

SKU A4-MD-0077 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
Dark indigo denim long-sleeve button-up shirt,A4-MD-0078,,,Dark indigo blue,Pre-owned,Denim Button-Up Shirt,Not Confirmed,18,1,"Dark indigo denim long-sleeve button-up shirt

Brand: See photos — brand tag verification pending
Department: Not Confirmed
Category: Denim Button-Up Shirt
Size: See measurements in photos
Color: Dark indigo blue
Pattern: Solid denim
Condition: Pre-owned; brand, size, department and final condition verification required

SKU A4-MD-0078 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
Black gray striped long-sleeve tunic top,A4-MD-0079,Not confirmed (label appears Aviva),M (verify tag),Black and charcoal gray,Pre-owned,Women's Long-Sleeve Tunic / Top,Women's Tops,12,1,"Black gray striped long-sleeve tunic top

Brand: Not confirmed (label appears Aviva)
Department: Women's Tops
Category: Women's Long-Sleeve Tunic / Top
Size: M (verify tag)
Color: Black and charcoal gray
Pattern: Horizontal stripes
Condition: Pre-owned; exact brand, garment type and final inspection required

SKU A4-MD-0079 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
Worthington red paisley sleeveless blouse Size M,A4-MD-0080,Worthington,M,Red with black and white,Pre-owned,Women's Sleeveless Blouse,Women's Tops,13,1,"Worthington red paisley sleeveless blouse Size M

Brand: Worthington
Department: Women's Tops
Category: Women's Sleeveless Blouse
Size: M
Color: Red with black and white
Pattern: Paisley
Condition: Pre-owned; final inspection required

SKU A4-MD-0080 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
Apt. 9 gold paisley pull-on skirt,A4-MD-0081,Apt. 9,L (verify tag),"Gold, brown and black",Pre-owned,Women's Printed Skirt,Women's Bottoms,14,1,"Apt. 9 gold paisley pull-on skirt

Brand: Apt. 9
Department: Women's Bottoms
Category: Women's Printed Skirt
Size: L (verify tag)
Color: Gold, brown and black
Pattern: Paisley
Condition: Pre-owned; garment type, size and final inspection required

SKU A4-MD-0081 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
Alex Evenings burgundy glitter long-sleeve blouse Size S,A4-MD-0082,Alex Evenings,S,Burgundy / wine,Pre-owned,Women's Evening Blouse / Formal Top,Women's Tops,24,1,"Alex Evenings burgundy glitter long-sleeve blouse Size S

Brand: Alex Evenings
Department: Women's Tops
Category: Women's Evening Blouse / Formal Top
Size: S
Color: Burgundy / wine
Pattern: Glitter / metallic textured solid
Condition: Pre-owned; final inspection required

SKU A4-MD-0082 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
Worthington teal pleated sleeveless V-neck blouse,A4-MD-0083,Worthington,,Teal / turquoise,Pre-owned,Women's Sleeveless Blouse,Women's Tops,12,1,"Worthington teal pleated sleeveless V-neck blouse

Brand: Worthington
Department: Women's Tops
Category: Women's Sleeveless Blouse
Size: See measurements in photos
Color: Teal / turquoise
Pattern: Solid with pleated front
Condition: Pre-owned; size and final inspection required

SKU A4-MD-0083 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
Visconti made in Italy black blazer,A5-MD-0084,Visconti,,Black / very dark navy,Pre-owned,Men's Blazer / Sport Coat,Men's Jackets & Coats,30,1,"Visconti made in Italy black blazer

Brand: Visconti
Department: Men's Jackets & Coats
Category: Men's Blazer / Sport Coat
Size: See measurements in photos
Color: Black / very dark navy
Pattern: Solid
Condition: Pre-owned; visible lint/wrinkles; final inspection required

SKU A5-MD-0084 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
Port Authority black gray colorblock full-zip windbreaker jacket Size XL,A5-MD-0085,Port Authority,XL,Black / light gray,Pre-owned,Men's Windbreaker Jacket / Lightweight Outerwear,Men's Jackets & Coats,18,1,"Port Authority black gray colorblock full-zip windbreaker jacket Size XL

Brand: Port Authority
Department: Men's Jackets & Coats
Category: Men's Windbreaker Jacket / Lightweight Outerwear
Size: XL
Color: Black / light gray
Pattern: Colorblock
Condition: Pre-owned; visible small front mark/flaw and final inspection required

SKU A5-MD-0085 — EHC secondhand apparel.
Smoke-free handling. Ships fast and folded with care.",Unlisted / Needs Review,Poshmark / eBay / Mercari
